Site,CultureArea,Subregion,dt,k,n
Cienega,Hohokam Area,Tucson Basin,-275,13,55
Las Capas,Hohokam Area,Tucson Basin,-1150,3,11
Matty Wash,Hohokam Area,Tucson Basin,-593,2,15
SA Mission,Hohokam Area,Tucson Basin,-535,2,12
Pueblo Grande-Early Classic,Hohokam Area,Phoenix Basin,1063,20,89
Pueblo Grande-Late Classic,Hohokam Area,Phoenix Basin,1213,13,61
Roosevelt Platform Mound Study-Roosevelt Phase,Hohokam Area,Tonto Basin,1150,19,103
Schoolhouse Point Mound-Gila Phase,Hohokam Area,Tonto Basin,1250,13,61
Casas Grandes,Mogollon Area,Chihuahua,1299,220,551
Galaz-Late Pithouse,Mogollon Area,Mimbres,774,24,65
Galaz-Classic Mimbres,Mogollon Area,Mimbres,1074,162,541
Grasshopper Pueblo,Mogollon Area,Cibecue,1337,90,279
Point of Pines,Mogollon Area,Black River,1274,37,333
SU,Mogollon Area,Cibola,499,3,27
423-101,Pueblo Area,San Juan Basin,600,1,9
Arroyo Hondo,Pueblo Area,Northern Rio Grande,1063,18,59
Black Mesa-Early Pueblo,Pueblo Area,Kayenta,325,10,35
Black Mesa-Late Pueblo,Pueblo Area,Kayenta,500,23,79
Darkmold-5LP4991,Pueblo Area,La Plata,-300,8,23
Dog Leg Site,Pueblo Area,San Juan Basin,-590,5,11
Durango,Pueblo Area,La Plata,250,0,5
Duna Leyenda,Pueblo Area,Northern San Juan,300,2,10
Gran Quivira-Early,Pueblo Area,Northern Rio Grande,1076,3,22
Gran Quivera-Middle,Pueblo Area,Northern Rio Grande,1175,13,49
Gran Quivera-Late,Pueblo Area,Northern Rio Grande,1311,10,60
Hawikku LA37,Pueblo Area,Zuni,1263,44,147
La Plata,Pueblo Area,La Plata,600,11,41
Marsh Pass,Pueblo Area,Kayenta,-833,3,21
NRG-1150,Pueblo Area,Northern Rio Grande,850,2,18
NRG-1250,Pueblo Area,Northern Rio Grande,950,2,17
NSJ-850,Pueblo Area,Northern San Juan,550,21,86
NSJ-950,Pueblo Area,Northern San Juan,650,3,20
NSJ-1050 and Porter-5MT1,Pueblo Area,Northern San Juan,750,9,43
NSJ-1150 and 5MT3,Pueblo Area,Northern San Juan,850,30,78
NSJ-1250,Pueblo Area,Northern San Juan,950,26,82
Pecos Pueblo-Forked Light,Pueblo Area,Northern Rio Grande,925,19,99
Pecos Pueblo-Glace/BandW,Pueblo Area,Northern Rio Grande,1038,10,40
Pecos Pueblo-Glaze I,Pueblo Area,Northern Rio Grande,1100,21,119
Pecos Pueblo-Glaze II,Pueblo Area,Northern Rio Grande,1150,9,70
Pecos Pueblo-Glaze III,Pueblo Area,Northern Rio Grande,1213,20,123
Pena Blanca-E. Devel,Pueblo Area,Northern Rio Grande,400,3,12
Pena Blanca-L. Dev/Coal,Pueblo Area,Northern Rio Grande,900,3,8
San Cristobal,Pueblo Area,Northern Rio Grande,1203,55,203
SJB-700,Pueblo Area,San Juan Basin,400,10,44
SJB-850,Pueblo Area,San Juan Basin,550,10,43
SJB-945,Pueblo Area,San Juan Basin,645,9,32
SJB-950,Pueblo Area,San Juan Basin,650,37,90
SJB-1050,Pueblo Area,San Juan Basin,750,39,140
SJB-1150,Pueblo Area,San Juan Basin,850,91,223
SJB-1250,Pueblo Area,San Juan Basin,950,12,27
Stevenson-5MT1,Pueblo Area,Northern San Juan,360,0,5
